	Unnamed: 0	date	handle	text	time_stamp	ms_today	ms_tomorrow	normalized_headline
900	10	2019-07-12	@Bloomberg	"""Alexa, tell me something I don't know about Bloomberg."" Open Bloomberg on your Amazon Echo to hear directly from o… https://t.co/sceVx4EIvI"	1562940006.0	1	0	alexa, tell me something i don't know about bloomberg. open bloomberg on your amazon echo to hear directly from o https:t.coscevx4eivi
901	11	2019-03-19	@Bloomberg	"""Alexa, tell me something I don't know about Bloomberg."" Open Bloomberg on your Amazon Echo to hear directly from o… https://t.co/d3Ysr5EsWH"	1553004005.0	1	1	alexa, tell me something i don't know about bloomberg. open bloomberg on your amazon echo to hear directly from o https:t.cod3ysr5eswh
902	12	2018-12-13	@Bloomberg	"""Alexa, tell me something I don't know about Bloomberg."" Open Bloomberg on your Amazon Echo to hear directly from o… https://t.co/s1VcjHqsa1"	1544704206.0	0	0	alexa, tell me something i don't know about bloomberg. open bloomberg on your amazon echo to hear directly from o https:t.cos1vcjhqsa1
903	13	2018-11-07	@Bloomberg	"""Alexa, tell me something I don't know about Bloomberg."" Open Bloomberg on your Amazon Echo to hear directly from o… https://t.co/cFWn9pCwiM"	1541615408.0	1	0	alexa, tell me something i don't know about bloomberg. open bloomberg on your amazon echo to hear directly from o https:t.cocfwn9pcwim
904	14	2018-10-05	@Bloomberg	"""Alexa, tell me something I don't know about Bloomberg."" Open Bloomberg on your Amazon Echo to hear directly from o… https://t.co/bQe295UkxA"	1538748014.0	0	0	alexa, tell me something i don't know about bloomberg. open bloomberg on your amazon echo to hear directly from o https:t.cobqe295ukxa
905	15	2018-08-06	@Bloomberg	"""Alexa, tell me something I don't know about Bloomberg."" Open Bloomberg on your Amazon Echo to hear directly from o… https://t.co/lqSTjXxWK6"	1533560416.0	0	0	alexa, tell me something i don't know about bloomberg. open bloomberg on your amazon echo to hear directly from o https:t.colqstjxxwk6
906	16	2019-09-12	@observer	Shopify Overtakes eBay as Second Biggest Shopping Site After Amazon https://t.co/mhBjQNev4X https://t.co/s0omZtSE20	1568331782.0	1	0	shopify overtakes ebay as second biggest shopping site after amazon https:t.comhbjqnev4x https:t.cos0omztse20
907	17	2019-09-03	@observer	Jeff Bezos Receives Senate Letter Asking Amazon to Crack Down on Product Safety https://t.co/Y4bEKWNAJy https://t.co/13ofankO5T	1567552441.0	1	0	jeff bezos receives senate letter asking amazon to crack down on product safety https:t.coy4bekwnajy https:t.co13ofanko5t
908	18	2019-09-03	@observer	Amazon, Seed Scams &amp; You: The Online Gardening Community Gets Served Penis Peppers https://t.co/RTp8M9jPew https://t.co/sz9Dkz7IdM	1567524661.0	1	0	amazon, seed scams amp; you: the online gardening community gets served penis peppers https:t.cortp8m9jpew https:t.cosz9dkz7idm
909	19	2019-08-27	@observer	RT @sissicao: LVMH Owner Donates to Amazon Wildfire—But His Notre Dame Check Has Yet to Clear https://t.co/aCjHWxSopJ	1566928635.0	0	1	rt sissicao: lvmh owner donates to amazon wildfirebut his notre dame check has yet to clear https:t.coacjhwxsopj
910	20	2019-08-27	@observer	LVMH Owner Donates to Amazon Wildfire—But His Notre Dame Check Has Yet to Clear https://t.co/5UHqIjfgy4 https://t.co/kSU4hWrxtI	1566926521.0	0	1	lvmh owner donates to amazon wildfirebut his notre dame check has yet to clear https:t.co5uhqijfgy4 https:t.coksu4hwrxti
911	21	2019-08-26	@observer	A SpaceX and Amazon Rival Is Quietly Winning the Musk-Bezos Space Race https://t.co/FPfBeMIkRw https://t.co/bQImXMGqi8	1566824581.0	1	0	a spacex and amazon rival is quietly winning the musk-bezos space race https:t.cofpfbemikrw https:t.cobqimxmgqi8
912	22	2019-08-22	@observer	A SpaceX and Amazon Rival Is Quietly Winning the Musk-Bezos Space Race https://t.co/FPfBeMIkRw https://t.co/aDeeoy029X	1566514861.0	0	0	a spacex and amazon rival is quietly winning the musk-bezos space race https:t.cofpfbemikrw https:t.coadeeoy029x
913	23	2019-08-21	@observer	A SpaceX and Amazon Rival Is Quietly Winning the Musk-Bezos Space Race https://t.co/FPfBeMIkRw https://t.co/A6y49DJNZI	1566395281.0	1	0	a spacex and amazon rival is quietly winning the musk-bezos space race https:t.cofpfbemikrw https:t.coa6y49djnzi
914	24	2019-09-13	@TheNextWeb	Amazon will launch new Alexa hardware on September 25 https://t.co/lrU9rbX9lK	1568372495.0	0	0	amazon will launch new alexa hardware on september 25 https:t.colru9rbx9lk
915	25	2019-09-13	@TheNextWeb	Amazon will launch new Alexa hardware on September 25 https://t.co/TfHofM4cfQ	1568350242.0	0	0	amazon will launch new alexa hardware on september 25 https:t.cotfhofm4cfq
916	26	2019-09-12	@TheNextWeb	Amazon will launch new Alexa hardware on September 25 https://t.co/e1zBOUAlTV	1568309029.0	1	0	amazon will launch new alexa hardware on september 25 https:t.coe1zboualtv
917	27	2019-09-07	@TheNextWeb	Amazon is reportedly launching a food delivery service in India to rival Zomato and Swiggy https://t.co/oadGmDTCa7	1567851544.0	0	0	amazon is reportedly launching a food delivery service in india to rival zomato and swiggy https:t.cooadgmdtca7
918	28	2019-09-06	@TheNextWeb	Amazon is reportedly launching a food delivery service in India to rival Zomato and Swiggy https://t.co/DcbmYf83wn	1567770082.0	0	0	amazon is reportedly launching a food delivery service in india to rival zomato and swiggy https:t.codcbmyf83wn
919	29	2019-09-06	@TheNextWeb	Amazon is reportedly launching a food delivery service in India to rival Zomato and Swiggy https://t.co/A6vfEnXcim	1567765629.0	0	0	amazon is reportedly launching a food delivery service in india to rival zomato and swiggy https:t.coa6vfenxcim
920	30	2019-09-09	@wired	Your healthy friends are wrong about processed foods, Amazon employees are walking off the job, and millions of pho… https://t.co/3HyiId1ccl	1568067145.0	0	0	your healthy friends are wrong about processed foods, amazon employees are walking off the job, and millions of pho https:t.co3hyiid1ccl
921	31	2019-09-09	@wired	Over 900 Amazon employees have signed a petition pledging to walk out over their employer’s inaction on climate cha… https://t.co/s2ml6mV8qq	1568035850.0	0	0	over 900 amazon employees have signed a petition pledging to walk out over their employers inaction on climate cha https:t.cos2ml6mv8qq
922	32	2019-09-09	@wired	RT @lmatsakis: I spoke with three Amazon employees, including a principal UX designer who has worked at the company for 15 years. I was ins…	1568035691.0	0	0	rt lmatsakis: i spoke with three amazon employees, including a principal ux designer who has worked at the company for 15 years. i was ins
923	33	2019-09-09	@wired	RT @lmatsakis: NEW: over 900 Amazon employees have signed an internal petition promising to walk out on September 20th to protest the compa…	1568035430.0	0	0	rt lmatsakis: new: over 900 amazon employees have signed an internal petition promising to walk out on september 20th to protest the compa
924	34	2019-09-05	@wired	The trailer for Season 2 of @amazon's #JackRyan is here. Will you watch the show? 👀👀 https://t.co/xGzuZjSGxY	1567702001.0	1	0	the trailer for season 2 of amazon's jackryan is here. will you watch the show?  https:t.coxgzuzjsgxy
925	35	2019-09-05	@wired	"Despite multiple warnings, illegal, non-FCC-compliant cell phone signal boosters continue to be sold on Amazon. 

H… https://t.co/fb0qtH3oXc"	1567655178.0	1	0	despite multiple warnings, illegal, non-fcc-compliant cell phone signal boosters continue to be sold on amazon. h https:t.cofb0qth3oxc
926	36	2019-09-11	@tech2eets	The Amazon river basins are home to two new species of eels and researchers believe that there are more species sti… https://t.co/AQ0va0HpEZ	1568208259.0	1	1	the amazon river basins are home to two new species of eels and researchers believe that there are more species sti https:t.coaq0va0hpez
927	37	2019-09-11	@tech2eets	The @amazonIN Great Indian Festival 2019 will offer discounted prices on smartphones, home and kitchen appliances,… https://t.co/ZSmpsfWHk3	1568202320.0	1	1	the amazonin great indian festival 2019 will offer discounted prices on smartphones, home and kitchen appliances, https:t.cozsmpsfwhk3
928	38	2019-09-06	@tech2eets	#OPPOReno2Z is now available for purchase on Filpkart and Amazon at Rs 29,990. Here are the specs and sale offers.… https://t.co/4IWPfZyTDf	1567750082.0	0	0	opporeno2z is now available for purchase on filpkart and amazon at rs 29,990. here are the specs and sale offers. https:t.co4iwpfzytdf
929	39	2019-09-04	@tech2eets	The Amazon wildfires have been raging on since May in Bolivia and they have now destroyed rare rock art in the town… https://t.co/4RuGvh3CPj	1567597820.0	0	1	the amazon wildfires have been raging on since may in bolivia and they have now destroyed rare rock art in the town https:t.co4rugvh3cpj
930	40	2019-09-04	@tech2eets	. @amazonIN India will roll out paper packing material across the country by the end of 2019. https://t.co/HNWnd2ogZX	1567597413.0	0	1	. amazonin india will roll out paper packing material across the country by the end of 2019. https:t.cohnwnd2ogzx
931	41	2019-09-13	@verge	Amazon-owned Whole Foods is cutting medical benefits for part-time workers https://t.co/aEI7mnKKfm https://t.co/FVjRrwb2cd	1568398407.0	0	0	amazon-owned whole foods is cutting medical benefits for part-time workers https:t.coaei7mnkkfm https:t.cofvjrrwb2cd
932	42	2019-09-13	@verge	Amazon’s Undone makes a terrific double feature with Waking Life https://t.co/Oh80HdltI7 https://t.co/2T3nafJF8L	1568387395.0	0	0	amazons undone makes a terrific double feature with waking life https:t.cooh80hdlti7 https:t.co2t3nafjf8l
933	43	2019-09-13	@verge	Amazon Video’s animated series Undone could be the start of something amazing https://t.co/uLWyZfoFv4 https://t.co/bpbC2Q9Vex	1568357701.0	0	0	amazon videos animated series undone could be the start of something amazing https:t.coulwyzfofv4 https:t.cobpbc2q9vex
934	44	2019-09-13	@verge	Amazon announces hardware event on September 25th https://t.co/5ee7EeVB24 https://t.co/cOwaF5x3Fh	1568349062.0	0	0	amazon announces hardware event on september 25th https:t.co5ee7eevb24 https:t.cocowaf5x3fh
935	45	2019-09-13	@verge	Amazon opens up its crowdsourced Alexa Answers program to anyone https://t.co/ljeIdNWWQG https://t.co/BvDkBzMrma	1568342641.0	0	0	amazon opens up its crowdsourced alexa answers program to anyone https:t.coljeidnwwqg https:t.cobvdkbzmrma
936	46	2019-09-12	@verge	Amazon Video’s animated series Undone could be the start of something amazing https://t.co/uLWyZf74Dw https://t.co/EA9kLxiqqE	1568314653.0	1	0	amazon videos animated series undone could be the start of something amazing https:t.coulwyzf74dw https:t.coea9klxiqqe
937	47	2019-09-12	@verge	Amazon announces hardware event on September 25th https://t.co/5ee7EeVB24 https://t.co/KEzGL9LgRU	1568305900.0	1	0	amazon announces hardware event on september 25th https:t.co5ee7eevb24 https:t.cokezgl9lgru
938	48	2019-09-12	@verge	Amazon opens up its crowdsourced Alexa Answers program to anyone https://t.co/ljeIdNFlZ8 https://t.co/FV9p6f2gvH	1568299470.0	1	0	amazon opens up its crowdsourced alexa answers program to anyone https:t.coljeidnflz8 https:t.cofv9p6f2gvh
939	49	2019-09-11	@verge	RT @VergeDeals: Ring's Video Doorbell Pro is $179 at B&amp;H Photo, which is $70 cheaper than Amazon's current price. This device requires door…	1568232923.0	1	1	rt vergedeals: ring's video doorbell pro is 179 at bamp;h photo, which is 70 cheaper than amazon's current price. this device requires door
940	50	2019-09-11	@verge	Carnival Row’s creators tease more politics and fae creatures — including elves and goblins — in season 2 of Amazon… https://t.co/qmnoSAGbnZ	1568171701.0	1	1	carnival rows creators tease more politics and fae creatures  including elves and goblins  in season 2 of amazon https:t.coqmnosagbnz
941	51	2019-09-11	@verge	Burned areas of the Amazon could take centuries to fully recover https://t.co/KXYvItrDWq https://t.co/77Ywl8kK50	1568170501.0	1	1	burned areas of the amazon could take centuries to fully recover https:t.cokxyvitrdwq https:t.co77ywl8kk50
942	52	2019-09-10	@verge	Carnival Row’s creators tease more politics and fae creatures — including elves and goblins — in season 2 of Amazon… https://t.co/txWFtnsGfF	1568128369.0	0	1	carnival rows creators tease more politics and fae creatures  including elves and goblins  in season 2 of amazon https:t.cotxwftnsgff
943	53	2019-09-10	@verge	Burned areas of the Amazon could take centuries to fully recover https://t.co/KXYvIta2xQ https://t.co/IHQew5JgFd	1568127315.0	0	1	burned areas of the amazon could take centuries to fully recover https:t.cokxyvita2xq https:t.coihqew5jgfd
944	54	2019-09-10	@verge	RT @VergeDeals: The 8-piece Ring Alarm security kit is far cheaper on Amazon today. Usually $239, it's $169 today, and it includes a third-…	1568125190.0	0	1	rt vergedeals: the 8-piece ring alarm security kit is far cheaper on amazon today. usually 239, it's 169 today, and it includes a third-
945	55	2019-09-10	@verge	Docs show Amazon planned to open dozens of cashierless Go stores this year — what’s the holdup?… https://t.co/Ax8rg4nA7b	1568088516.0	0	1	docs show amazon planned to open dozens of cashierless go stores this year  whats the holdup? https:t.coax8rg4na7b
946	56	2019-09-13	@DigitalTrends	Clean pet hair fast with this Bissell Powerglide vacuum, now 17% off on @amazon https://t.co/nI0am4gbB3	1568412123.0	0	0	clean pet hair fast with this bissell powerglide vacuum, now 17 off on amazon https:t.coni0am4gbb3
947	57	2019-09-13	@DigitalTrends	The newest #iPad goes on sale for just $33 a month at Apple, Walmart, and @amazon https://t.co/cJcPubKsHp	1568403273.0	0	0	the newest ipad goes on sale for just 33 a month at apple, walmart, and amazon https:t.cocjcpubkshp
948	58	2019-09-13	@DigitalTrends	Digital Trends Live - 9.13.19 - Can California &amp; @Uber Make Nice? + Preview Of @Amazon's Hardware Event #DTLive https://t.co/282PNCdrgw	1568390366.0	0	0	digital trends live - 9.13.19 - can california amp; uber make nice?  preview of amazon's hardware event dtlive https:t.co282pncdrgw
949	59	2019-09-13	@DigitalTrends	This @Lenovo Yoga 730 2-in-1 laptop is practically a steal at 55% off on @amazon https://t.co/xV0WchKUL9	1568387646.0	0	0	this lenovo yoga 730 2-in-1 laptop is practically a steal at 55 off on amazon https:t.coxv0wchkul9
950	60	2019-09-13	@DigitalTrends	.@Amazon to test hand recognition at Whole Foods. https://t.co/DRl0bmhJPh	1568384880.0	0	0	.amazon to test hand recognition at whole foods. https:t.codrl0bmhjph
951	61	2019-09-13	@DigitalTrends	With @amazon in its sights, Walmart expands its Delivery Unlimited service https://t.co/4MVy0B43Kz	1568358423.0	0	0	with amazon in its sights, walmart expands its delivery unlimited service https:t.co4mvy0b43kz
952	62	2019-09-13	@DigitalTrends	There may be a new Echo and other @amazon devices announced later this month https://t.co/UH1SoQ94Qo	1568333313.0	0	0	there may be a new echo and other amazon devices announced later this month https:t.couh1soq94qo
953	63	2019-09-12	@DigitalTrends	Need a laptop for school? This @Acer Aspire E 15 is discounted by $70 on @amazon https://t.co/EFT57iU5tN	1568317713.0	1	0	need a laptop for school? this acer aspire e 15 is discounted by 70 on amazon https:t.coeft57iu5tn
954	64	2019-09-12	@DigitalTrends	Score the new @Microsoft Surface Go tablet PC for $499 on @amazon https://t.co/ht8wdZEPwm	1568314833.0	1	0	score the new microsoft surface go tablet pc for 499 on amazon https:t.coht8wdzepwm
955	65	2019-09-13	@arstechnica	Congress wants Facebook, Google, Apple, and Amazon emails as probe heats up https://t.co/NDPhgyavys	1568400061.0	0	0	congress wants facebook, google, apple, and amazon emails as probe heats up https:t.condphgyavys
956	66	2019-09-13	@arstechnica	Amazon will announce new hardware on September 25 https://t.co/7mBnaTnhgQ by @SamuelAxon	1568399821.0	0	0	amazon will announce new hardware on september 25 https:t.co7mbnatnhgq by samuelaxon
957	67	2019-09-07	@arstechnica	Good news for our fellow Orlando Bloom stans out there—Amazon has already renewed #CarnivalRow for a S2. (That's be… https://t.co/tk4b16mHzu	1567838325.0	0	0	good news for our fellow orlando bloom stans out thereamazon has already renewed carnivalrow for a s2. that's be https:t.cotk4b16mhzu
958	68	2019-09-05	@arstechnica	Senator pushes Amazon for details about Ring “partnerships” with police https://t.co/glMOXjvpJH	1567717442.0	1	0	senator pushes amazon for details about ring partnerships with police https:t.coglmoxjvpjh
959	69	2019-09-05	@arstechnica	Looks as if Amazon's (lack of) oversight extends beyond what's offered in its webstore, too	1567645684.0	1	0	looks as if amazon's lack of oversight extends beyond what's offered in its webstore, too
960	70	2019-09-03	@arstechnica	Contractors bear the packages, and the blame, with Amazon delivery https://t.co/Li2wpejY9s	1567543262.0	1	0	contractors bear the packages, and the blame, with amazon delivery https:t.coli2wpejy9s
962	72	2019-09-02	@arstechnica	#TheTick: The Animated Series turns 25 this fall; thankfully the latest Amazon adaptation does that beloved series… https://t.co/F3hpc2Mpvg	1567438374.0	0	1	thetick: the animated series turns 25 this fall; thankfully the latest amazon adaptation does that beloved series https:t.cof3hpc2mpvg
